引导企业树立数据是重要资产的理念，主动进行数据资产的管理和开发。	13	[0.055, 0.02, 0.02, 0.025, 0.02, 0.07, 0.025, 0.02, 0.08, 0.02, 0.02, 0.025, 0.02, 0.58]
引导新闻媒体宣传管理会计的成功经验。	13	[0.035, 0.025, 0.025, 0.08, 0.025, 0.035, 0.03, 0.025, 0.065, 0.025, 0.025, 0.025, 0.025, 0.55]
降低平台经济企业准入门槛，实行“非禁即入”。	8	[0.021, 0.02, 0.02, 0.02, 0.02, 0.06, 0.198, 0.02, 0.599, 0.005, 0.005, 0.005, 0.005, 0.002]
将12345热线受理、办理、反馈、评价等全量数据统一汇聚至市级“一网统管”平台。	4	[0.01, 0.01, 0.01, 0.349, 0.55, 0.05, 0.005, 0.005, 0.005, 0.002, 0.001, 0.001, 0.001, 0.001]
支持数字技术开源社区、标准组织、产业联盟等创新联合体发展。	11	[0.03, 0.09, 0.05, 0.02, 0.02, 0.025, 0.02, 0.035, 0.15, 0.01, 0.02, 0.5, 0.02, 0.01]
打造数据产业集群，建设省级未来产业先导区，培育数字经济特色集聚区	12	[0.01, 0.03, 0.01, 0.015, 0.2, 0.22, 0.01, 0.01, 0.035, 0.005, 0.005, 0.005, 0.425, 0.01]
安徽省知识产权事业发展中心（以下简称“登记机构”）具体承办数据知识产权登记工作。	9	[0.01, 0.005, 0.005, 0.12, 0.01, 0.015, 0.18, 0.01, 0.03, 0.6, 0.005, 0.005, 0.003, 0.002]
布局高性能算力基础设施，建设云计算数据中心集群和算力互联互通平台	4	[0.01, 0.01, 0.015, 0.02, 0.75, 0.18, 0.004, 0.002, 0.003, 0.001, 0.001, 0.001, 0.002, 0.001]
建立健全多部门协同联动的工作机制，统筹推进能源数字化智能化发展。	8	[0.015, 0.01, 0.01, 0.02, 0.01, 0.25, 0.05, 0.01, 0.6, 0.005, 0.002, 0.003, 0.003, 0.002]
依法保护关键信息基础设施的数据安全。	6	[0.01, 0.005, 0.005, 0.01, 0.01, 0.02, 0.75, 0.005, 0.08, 0.1, 0.001, 0.001, 0.001, 0.002]
构建城市信息模型（CIM）基础平台，实现城市三维空间数字化。	4	[0.01, 0.01, 0.05, 0.15, 0.65, 0.1, 0.01, 0.005, 0.005, 0.003, 0.002, 0.002, 0.002, 0.001]
行政事业单位应当建立数据资产登记台账，通过卡片、电子标签等方式对数据资产进行管理，做到账实相符。	9	[0.01, 0.01, 0.01, 0.05, 0.01, 0.05, 0.2, 0.01, 0.05, 0.59, 0.005, 0.005, 0.005, 0.005]
